--------- beginning of system
03-09 18:58:45.043  1052  8717 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.CraftyGoblinStudios.GroovyBeats/com.epicgames.ue4.GameActivity} from uid 2000
03-09 18:58:45.069  1052  1085 I ActivityManager: Start proc 14799:com.CraftyGoblinStudios.GroovyBeats/u0a217 for activity {com.CraftyGoblinStudios.GroovyBeats/com.epicgames.ue4.GameActivity}
03-09 18:58:45.627  1052  1078 W ActivityTaskManager: Activity top resumed state loss timeout for ActivityRecord{5d35212 u0 com.CraftyGoblinStudios.GroovyBeats/com.epicgames.ue4.GameActivity t1195}
03-09 18:58:45.627  1052  1078 W ActivityTaskManager: Activity pause timeout for ActivityRecord{5d35212 u0 com.CraftyGoblinStudios.GroovyBeats/com.epicgames.ue4.GameActivity t1195}
03-09 18:58:46.902  1052  3267 E WindowManager: App trying to use insecure INPUT_FEATURE_NO_INPUT_CHANNEL flag. Ignoring
--------- beginning of tracking
03-09 18:58:46.937   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:46.938   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:46.939   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:46.939   861  1577 D TrackingService: getSharedMemory: com.oculus.guardian#2899, HeadTracker
03-09 18:58:46.945   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:46.953   861  4212 D TrackingService: getSharedMemory: com.oculus.guardian, AnchorTracker
03-09 18:58:46.969   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:47.420   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 22 lines
03-09 18:58:47.424   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:47.425   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:47.931   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 29 lines
03-09 18:58:47.967   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:47.969   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:48.629  1052  1537 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
03-09 18:58:48.640   861  4212 I chatty  : uid=1000(system) Binder:861_5 identical 34 lines
03-09 18:58:48.647  1052  3267 W ActivityManager: Permission Denial: Accessing service com.oculus.vrshell/.ShellOverlayService from pid=14799, uid=10217 requires com.oculus.vrshell.OVERLAY_HOST
03-09 18:58:48.650   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:58:48.652   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:48.697   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 2 lines
03-09 18:58:48.728   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:58:48.729   861  4212 W TrackingService: attachClient: found client in attached list
