--------- beginning of system
02-08 22:42:38.224  1029  4888 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.YourCompany.TemplateProject3/com.epicgames.ue4.GameActivity} from uid 2000
02-08 22:42:38.256  1029  1053 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
02-08 22:42:38.278  1029  1062 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
02-08 22:42:38.283  1029  1062 I ActivityManager: Start proc 25212:com.YourCompany.TemplateProject3/u0a147 for activity {com.YourCompany.TemplateProject3/com.epicgames.ue4.GameActivity}
02-08 22:42:38.387  1029  1061 W ActivityManager: Skipping broadcast of Intent { act=com.oculus.intent.action.PRIVACY_INDICATORS_UPDATE flg=0x10 pkg=com.oculus.systemux (has extras) }: user 10033 and its parent (if any) are stopped
02-08 22:42:38.899  1029  6794 E WindowManager: App trying to use insecure INPUT_FEATURE_NO_INPUT_CHANNEL flag. Ignoring
02-08 22:42:39.828  1029  5258 W ActivityManager: Permission Denial: Accessing service com.oculus.vrshell/.ShellOverlayService from pid=25212, uid=10147 requires com.oculus.vrshell.OVERLAY_HOST
02-08 22:42:41.819  1029  1718 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
02-08 22:42:41.977  1029  1338 W ActivityManager: Background start not allowed: service Intent { act=com.android.providers.tv.intent.CLEAN_UP_EPG_DATA flg=0x4 cmp=com.android.providers.tv/.EpgDataCleanupService (has extras) } to com.android.providers.tv/.EpgDataCleanupService from pid=-1 uid=10066 pkg=com.android.providers.tv startFg?=false
02-08 22:42:45.629  1029  3179 W ActivityManager: Package for pid 868: no process record found
02-08 22:43:41.971  1029  1061 W ActivityManager: Stopping service due to app idle: u0a71 -1m10s30ms com.oculus.appsafety/.AppSafetyService
02-08 22:44:45.656  1029  1046 W ActivityManager: Package for pid 868: no process record found
--------- beginning of tracking
02-08 22:45:40.434   883  1020 I chatty  : uid=1000(system) Binder:883_2 expire 33 lines
02-08 22:45:40.471   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:40.473   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:40.628   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 4 lines
02-08 22:45:40.668   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:40.710   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:41.182   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 13 lines
02-08 22:45:41.228   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:41.229   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:41.456   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 6 lines
02-08 22:45:41.458   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:41.504   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:41.669   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 4 lines
02-08 22:45:41.715   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:41.717   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:42.792   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 29 lines
02-08 22:45:42.838   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:42.886   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:42.977   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:45:43.023   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:43.024   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:43.252   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 5 lines
02-08 22:45:43.296   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:43.298   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:44.308   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 26 lines
02-08 22:45:44.331   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:44.332   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:44.772   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 12 lines
02-08 22:45:44.807   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:44.809   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:44.893   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:45:44.940   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:44.986   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.030   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.076   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.080   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.353   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 7 lines
02-08 22:45:45.400   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.446   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.558   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 3 lines
02-08 22:45:45.606   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.609   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.655   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.694   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.736   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.776   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.822   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.866   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:45.868   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:46.068   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 5 lines
02-08 22:45:46.113   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:46.116   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:46.309   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 5 lines
02-08 22:45:46.356   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:46.357   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:46.661   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 9 lines
02-08 22:45:46.708   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:46.753   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:46.792   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:45:46.833   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:46.839   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:47.256   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 12 lines
02-08 22:45:47.279   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:47.282   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:47.506   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 5 lines
02-08 22:45:47.553   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:47.556   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:48.240   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 19 lines
02-08 22:45:48.280   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:48.282   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:48.499   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 5 lines
02-08 22:45:48.543   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:48.545   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:49.179   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 17 lines
02-08 22:45:49.224   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:49.225   757 24571 E SyncBossHAL: [error  ] syncboss_hal_jedi.c(88): Failed to send telemetry event for module jedi with error -22
02-08 22:45:49.255   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:49.269   757 24571 E SyncBossHAL: [error  ] syncboss_hal_jedi.c(88): Failed to send telemetry event for module jedi with error -22
02-08 22:45:49.298   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:49.759   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 13 lines
02-08 22:45:49.791   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:49.792   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:51.197   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 38 lines
02-08 22:45:51.238   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:51.243   757 24571 E SyncBossHAL: [error  ] syncboss_hal_jedi.c(88): Failed to send telemetry event for module jedi with error -22
02-08 22:45:51.281   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:51.287   757 24571 E SyncBossHAL: [error  ] syncboss_hal_jedi.c(88): Failed to send telemetry event for module jedi with error -22
02-08 22:45:51.317   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:51.800   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 13 lines
02-08 22:45:51.836   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:51.840   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:52.237   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 11 lines
02-08 22:45:52.280   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:52.321   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:52.546   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 6 lines
02-08 22:45:52.586   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:52.587   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:53.499   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 26 lines
02-08 22:45:53.541   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:53.542   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:54.544   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 26 lines
02-08 22:45:54.589   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:54.591   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:54.816   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 5 lines
02-08 22:45:54.832   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:54.835   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:55.570   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 19 lines
02-08 22:45:55.616   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:55.617   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:55.858   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 7 lines
02-08 22:45:55.901   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:55.947   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:56.816   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 24 lines
02-08 22:45:56.860   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:45:56.862   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:59.922   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 82 lines
02-08 22:45:59.968   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:45:59.973   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:00.141   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 5 lines
02-08 22:46:00.157   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:00.159   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:00.356   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 5 lines
02-08 22:46:00.402   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:00.405   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:01.383   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 26 lines
02-08 22:46:01.429   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:01.431   883  1020 W TrackingService: attachClient: found client in attached list
